,name,latitude,longitude
12,Jackson Library,"[36.068384, 36.068376, 36.068344, 36.068332, 36.068361, 36.068506, 36.068505, 36.06849, 36.068389, 36.068391, 36.068246, 36.068245, 36.068196, 36.068141, 36.068142, 36.067993, 36.06799, 36.067892, 36.067895, 36.067895, 36.067895, 36.067909, 36.068079, 36.06808, 36.067951, 36.067911, 36.067914, 36.067916, 36.067955, 36.068001, 36.06802, 36.068018, 36.068071, 36.068078, 36.068087, 36.068139, 36.068142, 36.068338, 36.068336, 36.068384]","[-79.810176, -79.809937, -79.809939, -79.809604, -79.809603, -79.809596, -79.809563, -79.809163, -79.809169, -79.809236, -79.809244, -79.809213, -79.809216, -79.809219, -79.809249, -79.809258, -79.8092, -79.809206, -79.809268, -79.809287, -79.809303, -79.809641, -79.809626, -79.80969, -79.809695, -79.809697, -79.80976, -79.809813, -79.80981, -79.809808, -79.809806, -79.809759, -79.809756, -79.809956, -79.810194, -79.810191, -79.810266, -79.810256, -79.810178, -79.810176]"
13,Mary Foust Residence Hall,"[36.070542, 36.070531, 36.07006, 36.070079, 36.070217, 36.070211, 36.070395, 36.070403, 36.070542]","[-79.808109, -79.807838, -79.807872, -79.808149, -79.808135, -79.808026, -79.808013, -79.808121, -79.808109]"
14,McIver Street Parking Deck,"[36.072077, 36.072055, 36.071234, 36.071266, 36.072077]","[-79.807238, -79.806802, -79.80686, -79.807283, -79.807238]"
15,Moore-Strong Residence Hall,"[36.072333, 36.072295, 36.07219, 36.072214, 36.071601, 36.071631, 36.071746, 36.071716, 36.072333]","[-79.81103, -79.810528, -79.810542, -79.810892, -79.810939, -79.811586, -79.811569, -79.811081, -79.81103]"
16,Mossman Building,"[36.06679, 36.06678, 36.06667, 36.066668, 36.066776, 36.066771, 36.066577, 36.066577, 36.066451, 36.066454, 36.066209, 36.066213, 36.066356, 36.066358, 36.066276, 36.066283, 36.06679]","[-79.81097, -79.810734, -79.810735, -79.810665, -79.810663, -79.810503, -79.810517, -79.810438, -79.810441, -79.810518, -79.810531, -79.810762, -79.810756, -79.810826, -79.810829, -79.810993, -79.81097]"
17,Oakland Parking Deck,"[36.065016, 36.065015, 36.065048, 36.065017, 36.065013, 36.064974, 36.06497, 36.064923, 36.064876, 36.064869, 36.064733, 36.064618, 36.064549, 36.064535, 36.064496, 36.064504, 36.064506, 36.064541, 36.064887, 36.065016]","[-79.811683, -79.811626, -79.811623, -79.810515, -79.810465, -79.810462, -79.810397, -79.810392, -79.8104, -79.810424, -79.810429, -79.810437, -79.81044, -79.810428, -79.810432, -79.810577, -79.810661, -79.811701, -79.811688, -79.811683]"
18,Petty Building,"[36.069617, 36.069593, 36.069464, 36.069475, 36.069358, 36.069356, 36.06918, 36.069181, 36.06907, 36.069061, 36.068929, 36.068943, 36.06895, 36.069284, 36.069617]","[-79.807915, -79.807445, -79.807455, -79.807678, -79.807687, -79.807654, -79.807666, -79.807692, -79.8077, -79.807493, -79.807502, -79.807819, -79.807965, -79.80794, -79.807915]"
19,Reynolds Residence Hall,"[36.071214, 36.071207, 36.070957, 36.070958, 36.070942, 36.070942, 36.07067, 36.07068, 36.070875, 36.070877, 36.071214]","[-79.809229, -79.809079, -79.80909, -79.809073, -79.809073, -79.809028, -79.809046, -79.809173, -79.809164, -79.809243, -79.809229]"
20,Music Building,"[36.073183, 36.072847, 36.072855, 36.07273, 36.07272, 36.072706, 36.072693, 36.07267, 36.072655, 36.072639, 36.072629, 36.072617, 36.072606, 36.072599, 36.072594, 36.072587, 36.072579, 36.072575, 36.072576, 36.072596, 36.072626, 36.072618, 36.072656, 36.0726, 36.072636, 36.072698, 36.07277, 36.073118, 36.073183]","[-79.807875, -79.807903, -79.808183, -79.808196, -79.808217, -79.808241, -79.808251, -79.808259, -79.80826, -79.808259, -79.808257, -79.808251, -79.808245, -79.808237, -79.80823, -79.808217, -79.8082, -79.808176, -79.808148, -79.808115, -79.808095, -79.807988, -79.807983, -79.807058, -79.80698, -79.806915, -79.806895, -79.806938, -79.807875]"
21,North & South Spencer Residence Hall,"[36.070004, 36.069984, 36.069853, 36.069859, 36.069315, 36.069322, 36.069862, 36.069872, 36.070004]","[-79.808961, -79.808496, -79.808509, -79.808579, -79.808598, -79.808782, -79.80875, -79.808971, -79.808961]"
